GA_REVENUE,daysSinceLastSession,browser,mobileDeviceBranding,newOrReturning,hour,dayOfWeekName,orderCouponCode,shoppingStage,transactions,checkoutOptions,buyToDetailRate,transactionsPerSession,transactionShipping,transactionTax,uniquePurchases,cartToDetailRate,quantityAddedToCart,quantityCheckedOut,quantityRemovedFromCart,sessions_to_transaction,days_to_transaction,type
2300,0,Chrome,none,Returning Visitor,14,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,13,50,0
9400,0,Chrome,none,Returning Visitor,14,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,6,13,0
14220,0,Chrome,none,Returning Visitor,14,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,6,13,0
775,0,Internet Explorer,none,New Visitor,15,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
13000,0,Chrome,none,Returning Visitor,17,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,117,17,0
22000,0,Chrome,none,Returning Visitor,17,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,39,8,0
563,2,Safari,Apple,Returning Visitor,18,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,71,54,0
575,2,Safari,Apple,Returning Visitor,18,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,71,54,0
28000,0,Chrome,none,Returning Visitor,19,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,8,0,0
250,0,Chrome,none,Returning Visitor,19,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,11,10,0
7500,0,Firefox,(not set),New Visitor,19,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
1200,0,Chrome,none,New Visitor,20,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
225,0,Chrome,none,New Visitor,23,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
34000,0,Chrome,none,Returning Visitor,23,Sunday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,41,8,0
26000,0,Chrome,none,Returning Visitor,1,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,41,8,0
11000,1,Firefox,none,Returning Visitor,9,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,143,54,0
800,0,Chrome,none,Returning Visitor,10,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,17,43,0
36000,0,Chrome,none,Returning Visitor,11,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,182,51,0
1250,0,Chrome,Apple,New Visitor,12,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
6500,0,Chrome,none,New Visitor,12,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
7500,0,Chrome,none,Returning Visitor,13,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,0,0
84000,0,Safari,none,Returning Visitor,13,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,8,7,0
625,0,Chrome,none,Returning Visitor,14,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,6,16,0
1325,0,Chrome,none,Returning Visitor,16,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,4,0,0
17400,3,Chrome,none,Returning Visitor,16,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,14,18,0
33000,96,Chrome,none,Returning Visitor,18,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,96,0
28000,0,Chrome,none,Returning Visitor,18,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,2,0,0
4700,0,Opera,none,Returning Visitor,18,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,12,23,0
3500,0,Firefox,none,Returning Visitor,18,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,6,6,0
8000,0,Safari,none,Returning Visitor,19,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,19,167,0
5100,0,Firefox,none,Returning Visitor,19,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,6,6,0
10,0,Chrome,none,New Visitor,21,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
175,0,Chrome,none,New Visitor,22,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
10000,2,Chrome,none,Returning Visitor,23,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
90,0,Chrome,none,New Visitor,23,Monday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,1,0,0
950,0,Chrome,none,Returning Visitor,11,Tuesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,128,19,0
800,0,Chrome,none,Returning Visitor,11,Tuesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,128,19,0
925,0,Chrome,none,Returning Visitor,11,Tuesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,128,19,0
3000,0,Chrome,none,Returning Visitor,11,Tuesday,(not set),ALL_VISITS,1,(not set),0,0,0,0,1,0,0,0,0,6,3,0
